"panelista","encuesta","nombreapp","paquete","version","fuente","categoria","malware","sistema","lanzador","fecha 2020-01","dias 2020-01","uso 2020-01","fecha 2020-02","dias 2020-02","uso 2020-02","fecha 2020-03","dias 2020-03","uso 2020-03","fecha 2020-04","dias 2020-04","uso 2020-04","fecha 2020-05","dias 2020-05","uso 2020-05","fecha 2020-06","dias 2020-06","uso 2020-06"
"670","GXKKTHOV","""DH Texas Poker""","com.droidhen.game.poker","""2.8.1""","com.android.vending","Casino","","","1","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"670","GXKKTHOV","sonia","com.huuuge.casino.slots","","","","","","","0","0","N/D","0","0","N/D","","15","0","0","0","N/D","","0","","0","0","N/D"
"960","DCYUGFPN","sonia","com.gamepoint.bingo","","","","","","","0","0","N/D","2020-02-29 19:54","28","11152","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"961","OHHUTLNK","sonia","es.cabmagazine.bingoencasa","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","5/13/2020 16:28","12","286441","0","0","N/D"
"993","QCFAMNUV","sonia","com.uken.BingoPop","","","","","","","0","0","N/D","2020-02-29 20:40","28","26459514","","30","21625487","0","0","N/D","","0","","0","0","N/D"
"993","QCFAMNUV","sonia","com.uken.BingoPop","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","","27","11052847","5/8/2020 2:20","7","4398240","0","0","N/D"
"1093","KXLDFCDH","sonia","air.com.A888pokerandroid.ES","","","","","","","0","0","N/D","0","0","N/D","","17","18792","0","0","N/D","","0","","0","0","N/D"
"1093","KXLDFCDH","sonia","air.com.A888pokerandroid.ES","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","5/15/2020 10:20","14","13214134","0","0","N/D"
"1093","KXLDFCDH","sonia","es.partypoker.poker","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","5/15/2020 10:20","14","8978288","0","0","N/D"
"1093","KXLDFCDH","sonia","com.partypoker.mobileapp","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","5/15/2020 10:20","14","19836","0","0","N/D"
"1093","KXLDFCDH","sonia","com.pyrsoftware.pokerstars.es","","","","","","","0","0","N/D","0","0","N/D","","18","251784","0","0","N/D","","0","","0","0","N/D"
"1093","KXLDFCDH","sonia","com.pyrsoftware.pokerstars.es","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","5/15/2020 10:20","14","9582563","0","0","N/D"
"1093","KXLDFCDH","sonia","com.sportium.poker","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","5/15/2020 10:20","14","6758736","0","0","N/D"
"1596","GAOICTPK","""Huuuge Casino""","com.huuuge.casino.slots","""5.2.1800""","com.android.vending","Casino","","","1","0","0","N/D","2020-02-29 22:59","28","165901","0","0","N/D","","25","33207","5/31/2020 21:59","30","305275","","14","219912"
"1596","GAOICTPK","""RockNCash Casino Slot""","net.flysher.rockncash","""1.35.5""","com.android.vending","Casino","","","1","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"1596","GAOICTPK","sonia","com.huuuge.casino.texas","","","","","","","0","0","N/D","2020-02-29 22:59","28","969666","","30","969666","0","0","N/D","","0","","0","0","N/D"
"1596","GAOICTPK","sonia","com.wgames.en.neverlandcasino","","","","","","","0","0","N/D","2020-02-29 22:59","28","8834607","","30","8834607","0","0","N/D","","0","","0","0","N/D"
"3208","GCUHQLIL","""Luckia""","medianet.luckia","""4.0.2""","unknown","Sin categorizar","","","1","0","0","N/D","2020-02-23 14:43","22","13875","0","0","N/D","0","0","N/D","5/13/2020 19:22","12","5738","0","0","N/D"
"3224","DCJKNDQQ","""Zynga Poker""","com.zynga.livepoker","""21.92""","com.android.vending","Casino","","","1","0","0","N/D","2020-02-24 10:23","23","190688","","30","19984","0","0","N/D","","0","","","29","146316"
"4178","GFCBVEKN","""Bingo Win""","com.bingo.games.online.offline.free.slots.lotto.keno.casino.adventure","""1.2.6""","com.android.vending","Board","","","1","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"4507","PKENFJAP","""bet365""","org.chromium.webapk.a90ecd198665365ac","""48""","com.android.vending","Sin categorizar","","","","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"4691","EKLEGRKR","""Big Time""","com.winrgames.bigtime","""3.4.5""","com.android.vending","Casino","","","1","0","0","N/D","0","0","N/D","","12","0","0","0","N/D","5/13/2020 18:50","12","0","0","0","N/D"
"5080","OMLILYMD","""Big Time""","com.winrgames.bigtime","""3.4.5""","com.android.vending","Casino","","","1","0","0","N/D","2020-02-25 11:20","24","101069","0","0","N/D","0","0","N/D","5/24/2020 13:54","23","234931","0","0","N/D"
"5090","VPVOGJQB","sonia","com.kamagames.pokerist","","","","","","","0","0","N/D","2020-02-24 09:54","23","0","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"5176","BJGHUHMS","""Absolute Bingo""","com.absolute.bingo","""2.05.002""","com.android.vending","Card","","","1","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"5202","RJNHCRAB","""bet365""","com.bet365Wrapper.Bet365_Application","""5.0.3.0""","com.google.android.packageinstaller","Sports","","","1","0","0","N/D","2020-02-24 14:32","23","0","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"5206","PHAGROJL","sonia","com.Bingo.Fighter","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","5/13/2020 14:46","12","165193","0","0","N/D"
"5439","CALIHLTU","""Cartones de Bingo""","es.bingo.cartonesbingo","""2.5.0""","com.android.vending","Casual","","","1","0","0","N/D","2020-02-25 20:51","24","0","0","0","N/D","0","0","N/D","5/13/2020 12:58","12","0","0","0","N/D"
"5919","CSORCHHL","""bet365""","org.chromium.webapk.a3a2329b32a409234","""81""","com.android.vending","Sin categorizar","","","","0","0","N/D","2020-02-27 10:07","26","0","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"6030","SYXQOALR","""Jackpot Poker""","com.pokerstars.cebo","""6.0.2""","com.android.vending","Casino","","","1","0","0","N/D","2020-02-24 10:27","23","0","0","0","N/D","0","0","N/D","5/13/2020 13:51","12","0","0","0","N/D"
"6539","BGUMYIYP","sonia","com.playtika.caesarscasino","","","","","","","0","0","N/D","0","0","N/D","","27","605162","0","0","N/D","","0","","0","0","N/D"
"6570","BJBCARBL","""Slotomania""","air.com.playtika.slotomania","""6.2.3""","com.android.vending","Casino","","","1","0","0","N/D","2020-02-28 14:57","27","0","0","0","N/D","0","0","N/D","5/19/2020 17:26","18","0","0","0","N/D"
"6596","VFJEDRTS","""Lucky Winner""","playgame.free.scratchers.win.realmoney.lucky.day.casino","""1.1.5""","com.android.vending","Lifestyle","","","1"," ","28","0","2020-02-29 20:04","28","0","0","0","N/D","","29","0","5/30/2020 13:53","29","0","","29","0"
"6596","VFJEDRTS","""Scratch Day""","com.viker.scratchattack","""3.11.1""","com.android.vending","Casino","","","1"," ","28","341509","2020-02-29 20:04","28","129601","","2","62502","","29","202988","5/30/2020 13:53","29","150584","","29","3382891"
"6622","PCTAKCEW","""Kirolbet""","com.kirolsoft.main","""2.3.2.18""","com.google.android.packageinstaller","Sin categorizar","","","","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","5/30/2020 12:36","29","325501","0","0","N/D"
"6636","XGOQWQBG","sonia","com.lein.pppoker.android","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","","25","13744","","0","","0","0","N/D"
"6698","PHKDHDAC","""Coin Dozer""","com.leftover.CoinDozer","""19.7""","com.google.android.packageinstaller","Casino","","","1","0","0","N/D","2020-02-24 16:32","23","0","0","0","N/D","0","0","N/D","5/13/2020 9:25","12","0","0","0","N/D"
"6698","PHKDHDAC","""Coin Pusher""","com.CoinGame.CoinPusher","""5.1""","com.android.vending","Casino","","","1","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"6698","PHKDHDAC","""Lucky Day""","com.luckyday.app","""6.8.2""","com.android.vending","Casino","","","1","0","0","N/D","2020-02-24 16:32","23","0","0","0","N/D","0","0","N/D","5/13/2020 9:25","12","0","0","0","N/D"
"6701","GPEQIAMQ","sonia","com.huuuge.casino.slots","","","","","","","0","0","N/D","0","0","N/D","","15","0","0","0","N/D","","0","","0","0","N/D"
"6731","WAXFAIAM","""Codere APPuestas""","es.codere.apuestas","""1.0""","com.google.android.packageinstaller","Sin categorizar","","","1","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","5/20/2020 13:06","19","0","0","0","N/D"
"6731","WAXFAIAM","""Casino ES""","es.pokerstars.casino","""3.20.0""","com.google.android.packageinstaller","Sin categorizar","","","","0","0","N/D","0","0","N/D","","1","0","0","0","N/D","5/20/2020 13:06","19","0","0","0","N/D"
"6731","WAXFAIAM","""Kirolbet""","com.kirolsoft.main","""2.3.2.18""","com.google.android.packageinstaller","Sin categorizar","","","","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","5/20/2020 13:06","19","0","0","0","N/D"
"6731","WAXFAIAM","""Luckia""","medianet.luckia","""4.5.0""","com.google.android.packageinstaller","Sin categorizar","","","1","0","0","N/D","0","0","N/D","","1","29965","0","0","N/D","5/20/2020 13:06","19","103635","0","0","N/D"
"6731","WAXFAIAM","""Big Time""","com.winrgames.bigtime","""3.4.5""","com.android.vending","Casino","","","1","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","5/20/2020 13:06","19","3523857","0","0","N/D"
"6731","WAXFAIAM","""Lucky Day""","com.luckyday.app","""6.8.2""","com.android.vending","Casino","","","1","0","0","N/D","0","0","N/D","","1","39027","0","0","N/D","5/20/2020 13:06","19","812168","0","0","N/D"
"6751","ROMYGEUN","""Lucky Day""","com.luckyday.app","""6.7.1""","com.android.vending","Casino","","","1"," ","23","0","0","0","N/D","","23","0","","28","0","5/31/2020 21:59","30","0","","20","0"
"6793","OCUWBYTS","sonia","com.grandegames.slots.dafu.casino","","","","","","","0","0","N/D","2020-02-29 22:59","28","3438253","","30","3438253","0","0","N/D","","0","","0","0","N/D"
"6793","OCUWBYTS","sonia","com.grandegames.slots.dafu.casino","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","","29","3438253","5/31/2020 21:59","30","3438253","","15","3438253"
"6793","OCUWBYTS","sonia","com.playshoo.texaspoker.romania","","","","","","","0","0","N/D","2020-02-29 22:59","28","774832","","30","774832","0","0","N/D","","0","","0","0","N/D"
"6793","OCUWBYTS","sonia","com.playshoo.texaspoker.romania","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","","29","774832","5/31/2020 21:59","30","774832","","15","774832"
"6793","OCUWBYTS","sonia","air.com.spicerackmedia.bingoshowdown","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","","29","86464","5/31/2020 21:59","30","86464","","15","86464"
"6793","OCUWBYTS","sonia","air.com.spicerackmedia.bingoshowdown","","","","","","","0","0","N/D","2020-02-29 22:59","28","86464","","30","86464","0","0","N/D","","0","","0","0","N/D"
"6793","OCUWBYTS","sonia","com.Bingo.Football","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","","29","1209896","5/31/2020 21:59","30","1209896","","15","1209896"
"6793","OCUWBYTS","sonia","com.Bingo.Football","","","","","","","0","0","N/D","2020-02-29 22:59","28","1209896","","30","1209896","0","0","N/D","","0","","0","0","N/D"
"6793","OCUWBYTS","sonia","com.mola.playspace.android.bingo","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","","29","1022505","5/31/2020 21:59","30","1022505","","15","1022505"
